area,training_name,qty_staff_attending,training_desc,challenge_lvl,skill_impact,evaluation_method,ida_class,training_type,training_hours,supplier_name,course_cost
"LEADERSHIP & MANAGEMENT","Coaching skills for managers","21","Gives management an opportunity to differentiate between coaching and mentoring and when it is appropriate to use one or the other","Challenge 1","Fully trained & holistic leadership skills for managers","On-the-job Competency Confirmation","Class B - Nat/International Industry Cert","External Training",40.0,"Redwood & Co",25200.0
"LEADERSHIP & MANAGEMENT","Mentoring skills for managers","15","Gives management an opportunity to differentiate between coaching and mentoring and when it is appropriate to use one or the other","Challenge 1","Fully trained & holistic leadership skills for managers","On-the-job Competency Confirmation","Class B - Nat/International Industry Cert","External Training",40.0,"Redwood & Co",18000.0
"LEADERSHIP & MANAGEMENT","Coaching & Mentoring ","150","Offer individual coaching and mentoring sessions to employees, creating dedicated time for personalised development. This approach allows managers to deepen their own knowledge and practice their leadership and coaching skills. At the same time, it provides employees with access to an in-house coach or mentor, fostering growth, building confidence, and supporting career progression within the organisation.","Challenge 1","Fully trained & holistic leadership skills for managers","On-the-job Competency Confirmation","Class D - Not Certified","Internal Training",72.0,,
"LEADERSHIP & MANAGEMENT","Certificate in Leadership Development - MTU","10","The industry focused nature of the programme, coupled with the applied nature of teaching provides a practical bedrock of knowledge and experience that can be used in a multitude of business contexts. The programme equips participants with a toolbox of essential leadership skills: in people, project, finance, change management, and effective leadership style and techniques that can also be used in a multitude of business contexts.","Challenge 1","Fully trained & holistic leadership skills for managers","Written Exam","Class A - QQI Certified L1-10","External Training",320.0,"Munster Technological University ",25000.0
"LEADERSHIP & MANAGEMENT","Lean Six Sigma - Black Belt","5","Provides capability to take on High Compexity Improvement Projects to drive Lean Manufacturing","Challenge 5","Fully trained six sigma project lead & coach for the site","Project sign-off","Class A - QQI Certified L1-10","External Training",96.0,"Munster Technological University ",23750.0
"LEADERSHIP & MANAGEMENT","Lean Six Sigma - White Belt","800","Provides a foundational understanding of Lean Six Sigma principles, terminology, and basic improvement methodologies.","Challenge 5","Fully trained six sigma project lead & coach for the site","On-the-job Competency Confirmation","Class C - Internal Corporate Cert","Internal Training",1.0,,
"LEADERSHIP & MANAGEMENT","Lean Six Sigma - Green Belt","12","Provides capability to take on Medium Compexity Improvement Projects to drive Lean Manufacturing","Challenge 5","Fully trained six sigma project lead & coach for the site","Project sign-off","Class A - QQI Certified L1-10","External Training",72.0,"Munster Technological University ",27000.0
"LEADERSHIP & MANAGEMENT","Lean Six Sigma - Yellow Belt","30","Provides capability to take on Low to Medium Compexity Improvement Projects to drive Lean Manufacturing","Challenge 5","Fully trained six sigma project lead & coach for the site","Project sign-off","Class C - Internal Corporate Cert","External Training",24.0,"LBS Partners",33750.0
"LEADERSHIP & MANAGEMENT","Lockout Tagout Training","20","Increases Knowledge & skillset in faciliting technical personnel to elimate our engineer out identifed hazards and risks when interaacting with both mechanical and electrical risks","Challenge 5","Environmental, health & safety practices","Project sign-off","Class C - Internal Corporate Cert","Internal Training",8.0,,
"Digital Skills","Lean Fundamentals","800","Understanding, Identification of Waste and Improvement in the Process","Challenge 5","Implementing Stryker's lean strategy","On-the-job Competency Confirmation","Class D - Not Certified","Internal Training",4.0,,
"Digital Skills","Stryker Lean Tools - Daily Management","800","Managing day to day operations through a Lean mindset","Challenge 1","Implementing Stryker's lean strategy","On-the-job Competency Confirmation","Class D - Not Certified","Internal Training",8.0,,
